ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Mar2023_Container,@Mar2023_Container_MasterName,Resource,@ui_itemtypedescription_resource,@Mar2023_Container_Description,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Mar2023Prime,,,,,,,,,,,,,,0,0,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_Chest_Mar2023_FirelightNouveau,@Skin_Chest_Mar2023_FirelightNouveau_MasterName,Armor,,@Skin_Chest_Mar2023_FirelightNouveau_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightNouveau_chest,f_FirelightNouveau_chest,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Head_Mar2023_FirelightNouveau,@Skin_Head_Mar2023_FirelightNouveau_MasterName,Armor,,@Skin_Head_Mar2023_FirelightNouveau_Description,EquippableHead,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightNouveau_head,f_FirelightNouveau_head,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Legs_Mar2023_FirelightNouveau,@Skin_Legs_Mar2023_FirelightNouveau_MasterName,Armor,,@Skin_Legs_Mar2023_FirelightNouveau_Description,EquippableLegs,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightNouveau_legs,f_FirelightNouveau_legs,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Feet_Mar2023_FirelightNouveau,@Skin_Feet_Mar2023_FirelightNouveau_MasterName,Armor,,@Skin_Feet_Mar2023_FirelightNouveau_Description,EquippableFeet,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightNouveau_feet,f_FirelightNouveau_feet,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Hands_Mar2023_FirelightNouveau,@Skin_Hands_Mar2023_FirelightNouveau_MasterName,Armor,,@Skin_Hands_Mar2023_FirelightNouveau_Description,EquippableHands,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightNouveau_gloves,f_FirelightNouveau_gloves,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Chest_Mar2023_FirelightBackScarf,@Skin_Chest_Mar2023_FirelightBackScarf_MasterName,Armor,,@Skin_Chest_Mar2023_FirelightBackScarf_Description,EquippableChest,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightBackScarf_chest,f_FirelightBackScarf_chest,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Head_Mar2023_FirelightBackScarf,@Skin_Head_Mar2023_FirelightBackScarf_MasterName,Armor,,@Skin_Head_Mar2023_FirelightBackScarf_Description,EquippableHead,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightBackScarf_head,f_FirelightBackScarf_head,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Legs_Mar2023_FirelightBackScarf,@Skin_Legs_Mar2023_FirelightBackScarf_MasterName,Armor,,@Skin_Legs_Mar2023_FirelightBackScarf_Description,EquippableLegs,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightBackScarf_legs,f_FirelightBackScarf_legs,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
Skin_Feet_Mar2023_FirelightBackScarf,@Skin_Feet_Mar2023_FirelightBackScarf_MasterName,Armor,,@Skin_Feet_Mar2023_FirelightBackScarf_Description,EquippableFeet,,,,0,,,,,0,,,,,,,,,,,,,,,,,0,,0,0,0,,m_FirelightBackScarf_feet,f_FirelightBackScarf_feet,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,
