ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
JanTest,@JanTest_MasterName,Resource,@ui_itemtypedescription_resource,@JanTest_Description,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Jan2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Jan2023_Container,@Jan2023_Container_MasterName,Resource,@ui_itemtypedescription_resource,@Jan2023_Container_Description,Resource+LootContainer,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/MakeGoodContainer.png,lyshineui/images/icons/items_hires/MakeGoodContainer.png,10000,0,,,,59,,1,1,0,,[LTID]Jan2023Prime,,,,,,,,,,,,,,0,,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
Skin_Chest_Jan2023_1,@Skin_Chest_Jan2023_1_MasterName,Armor,,@Skin_Chest_Jan2023_1_Description,EquippableChest,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonPauldrons_chest,f_winterDragonPauldrons_chest,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skin_Head_Jan2023_1,@Skin_Head_Jan2023_1_MasterName,Armor,,@Skin_Head_Jan2023_1_Description,EquippableHead,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonPauldrons_head,f_winterDragonPauldrons_head,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skin_Legs_Jan2023_1,@Skin_Legs_Jan2023_1_MasterName,Armor,,@Skin_Legs_Jan2023_1_Description,EquippableLegs,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonPauldrons_legs,f_winterDragonPauldrons_legs,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skin_Feet_Jan2023_1,@Skin_Feet_Jan2023_1_MasterName,Armor,,@Skin_Feet_Jan2023_1_Description,EquippableFeet,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonPauldrons_feet,f_winterDragonPauldrons_feet,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skin_Hands_Jan2023_1,@Skin_Hands_Jan2023_1_MasterName,Armor,,@Skin_Hands_Jan2023_1_Description,EquippableHands,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonPauldrons_gloves,f_winterDragonPauldrons_gloves,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skin_Chest_Jan2023_2,@Skin_Chest_Jan2023_2_MasterName,Armor,,@Skin_Chest_Jan2023_2_Description,EquippableChest,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonDouble_chest,f_winterDragonDouble_chest,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skin_Head_Jan2023_2,@Skin_Head_Jan2023_2_MasterName,Armor,,@Skin_Head_Jan2023_2_Description,EquippableHead,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonDouble_head,f_winterDragonDouble_head,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Skin_Legs_Jan2023_2,@Skin_Legs_Jan2023_2_MasterName,Armor,,@Skin_Legs_Jan2023_2_Description,EquippableLegs,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,m_winterDragonDouble_legs,f_winterDragonDouble_legs,,,,0,0,,,,,0,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
