DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Spell_Flame_Vacuum,Sword,0,0,,Bullet,Magic,Fire,,false,Deflect_Default,false,0,1,0,3,3,3,34,30,34,0,-1,-2,0.800000011920929,0,-1,-2,0.699999988079071,0,-1,-2,0.699999988079071,0,0,,0,Large,Large,Large,4,0,0,0,true,0.16249999403953552,0.32499998807907104
Spell_Incinerate,Sword,0,0,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,0.8500000238418579,1,0.800000011920929,0,0,0,15,10,15,0,3,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Spell_Fireball,Sword,0,0,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,0.8500000238418579,1,1.2000000476837158,2,2,2,25,20,25,0,6.5,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Spell_Lava_Flow,Sword,0,0,,Bullet,Magic,Fire,,false,Deflect_Default,false,1.100000023841858,1,0.800000011920929,2,2,2,25,20,25,0,3,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Basic_Projectile,Sword,0,0,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,0.44999998807907104,1,0.44999998807907104,0,0,0,10,10,10,0,0,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Roving_Meteor_Shower,Sword,1,1,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,0.33000001311302185,1,0.800000011920929,0,0,0,10,10,10,0,0,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Kindling_Fire,Sword,0,1,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,0.33000001311302185,1,1,0,0,0,10,10,10,0,0,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Spell_Living_Bomb,Sword,0,0,,Bullet,Magic,Fire,,false,Deflect_Default,false,1.25,1,2.5,4,4,4,40,48,40,0,6.5,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Raging_Flame_Entities,Sword,1,1,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,1,1,1,0,0,0,10,10,10,0,0,0,0.800000011920929,0,0,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Combustion,Sword,0,0,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,0.6499999761581421,1,0.800000011920929,1,1,1,15,10,15,0,3,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Flamekeeper_Heavy_Swipe,Sword,0,0,,Bullet,Magic,Strike,,true,Deflect_Default,false,0.44999998807907104,1,0.44999998807907104,0,0,0,10,10,10,0,0,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
Flamekeeper_Burnout,Sword,0,0,,Bullet,Magic,Fire,AI_Burn_9,true,Deflect_Default,false,0.5,1,1.2000000476837158,2,2,2,25,20,25,0,6.5,0,0.800000011920929,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Small,Large,Large,3,1.649999976158142,0,0,false,0.16249999403953552,0.32499998807907104
