DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Greataxe_Whirlwind,GreatAxe,0,0,false,Bullet,Light,Slash,AI_FireDMG_25,AI_Evil_Knight_Fire_Champion_Overheat,false,Deflect_Default,false,0.30000001192092896,0.25,1,0,0,0,10,10,10,0,0.5,0,0.800000011920929,0,0.25,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,0.5,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Whirlwind_Fireball,GreatAxe,0,0,true,Bullet,Light,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.4000000059604645,0.20000000298023224,1,0,0,0,10,10,10,0,0.25,0,0.800000011920929,0,0,0,0.800000011920929,0,0.25,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,0.3499999940395355,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Execution,GreatAxe,0,0,false,Bullet,Heavy,Slash,AI_FireDMG_25,,false,Deflect_Default,false,1.2999999523162842,0.5,1,3,3,3,30,20,30,0,0.5,0,0.800000011920929,0,0.25,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0.20000000298023224,0.30000001192092896,0,Small,Small,Small,3,2,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Execution_AoE,GreatAxe,0,0,false,Bullet,Light,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.3499999940395355,0.25,1,0,0,0,10,10,10,0,0.25,0,0.800000011920929,0,0,0,0.800000011920929,0,0.25,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,1.2000000476837158,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Swing_L,GreatAxe,0,0,false,Bullet,Light,Slash,AI_FireDMG_25,AI_Evil_Knight_Fire_Champion_Overheat,false,Deflect_Default,false,0.800000011920929,0.25,1,0,0,0,10,10,10,0.25,0,0,0.800000011920929,0.25,0,0,0.800000011920929,0.25,0,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,0.6000000238418579,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Swing_R,GreatAxe,0,0,false,Bullet,Light,Slash,AI_FireDMG_25,AI_Evil_Knight_Fire_Champion_Overheat,false,Deflect_Default,false,0.800000011920929,0.25,1,0,0,0,10,10,10,-0.25,0,0,0.800000011920929,-0.25,0,0,0.800000011920929,-0.25,0,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,0.6000000238418579,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Shockwave,GreatAxe,0,0,false,Bullet,Heavy,Slash,AI_FireDMG_25,,false,Deflect_Default,false,1,0.75,1,0,0,0,10,10,10,0,0.5,0,0.800000011920929,0,0.25,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,3,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Shockwave_AoE,GreatAxe,0,0,false,Bullet,Heavy,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.4000000059604645,0.75,1,0,0,0,10,10,10,0,0.5,0,0.800000011920929,0,0.25,0,0.800000011920929,0,0.5,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,0.8500000238418579,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Eruption,GreatAxe,0,0,false,Bullet,Light,Slash,,,false,Deflect_Default,false,0.699999988079071,0.5,1,0,0,0,10,10,10,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,0.6000000238418579,1,0,0.16249999403953552,0.32499998807907104
Greataxe_Eruption_AoE,GreatAxe,0,0,false,Bullet,Heavy,Fire,,AI_Evil_Knight_Fire_Champion_Overheat,true,Deflect_Default,false,0.20000000298023224,0.10000000149011612,1,0,0,0,10,10,10,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0,0,0.800000011920929,0,0.20000000298023224,0.20000000298023224,0,Small,Small,Small,3,0.3499999940395355,1,0,0.16249999403953552,0.32499998807907104
