DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,IsRanged,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Slash,Unarmed,0,0,Bullet,Light,Slash,false,AI_FireNaga_Flamethrower_DoT,true,Deflect_Default,false,0.6499999761581421,1,1,0,1,0,20,5,10,0,0.800000011920929,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.6000000238418579,1,0,,,0.16249999403953552,0.32499998807907104
Slash_Combo,Unarmed,0,0,Bullet,Light,Slash,false,AI_FireNaga_Flamethrower_DoT,true,Deflect_Default,false,0.5,1,1,0,1,0,20,5,10,0,0.800000011920929,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.6000000238418579,1,0,,,0.16249999403953552,0.32499998807907104
Overhead,Unarmed,0,0,Bullet,Heavy,Strike,true,AI_FireNaga_Flamethrower_DoT,false,Deflect_Default,false,2,1,1,4,4,0,30,15,10,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0.800000011920929,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1.7999999523162842,1,0,,,0.16249999403953552,0.32499998807907104
Fire_Shot,FireStaff_Proj,0,0,Bullet,Light,Fire,true,AI_FireNaga_Flamethrower_DoT,true,Deflect_Default,false,0.800000011920929,1,1,0,1,0,20,5,10,0,0.800000011920929,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.6000000238418579,1,0,,,0.16249999403953552,0.32499998807907104
Flamethrower_Weak,Unarmed,0,0,Bullet,Light,Fire,true,AI_FireNaga_Flamethrower_DoT,false,Deflect_Default,false,0.800000011920929,1,1,0,1,0,10,5,10,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.800000011920929,1,0,,,0.16249999403953552,0.32499998807907104
Flamethrower_Medium,Unarmed,0,0,Bullet,Light,Fire,true,AI_FireNaga_Flamethrower_DoT,false,Deflect_Default,false,1,1,1,0,1,0,20,10,10,0,0,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1,1,0,,,0.16249999403953552,0.32499998807907104
Flamethrower_Strong,Unarmed,0,0,Bullet,Heavy,Fire,true,AI_FireNaga_Flamethrower_DoT,false,Deflect_Default,false,1.600000023841858,1,1,4,4,0,30,15,10,0,1,0,0.800000011920929,0,1,0,0.800000011920929,0.800000011920929,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,1.2000000476837158,1,0,,,0.16249999403953552,0.32499998807907104
LavaSpawn_Hit,Unarmed,0,0,Bullet,Heavy,Strike,true,,false,Deflect_Default,false,1,1,1,4,4,0,30,5,10,0,2,0,0.800000011920929,0,1,0,0.800000011920929,0.800000011920929,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0.800000011920929,1,0,,,0.16249999403953552,0.32499998807907104
Intro,Unarmed,0,0,Bullet,Light,Slash,false,,false,Deflect_Default,false,0,1,1,4,4,0,20,5,10,0,0.800000011920929,0,0.800000011920929,0,1,0,0.800000011920929,0,0,0,0.800000011920929,0,0.30000001192092896,0.30000001192092896,1,Small,Small,3,0,1,0,,,0.16249999403953552,0.32499998807907104
Fall,Fall,1,1,Bullet,,Falling,false,,false,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,,,0.16249999403953552,0.32499998807907104
Reaction_Breakout,Fall,1,1,Bullet,,Falling,false,,false,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,Small,1,0,0,0,,,0.16249999403953552,0.32499998807907104
